0,1,2
2020-04-03 22:57:57+00:00,How Military officer imported COVID-19 from India – Gov Akeredolu reveals https://www.herald.ng/how-military-officer-imported-covid-19-from-india-gov-akeredolu-reveals/,HeraldNG
2020-04-03 22:57:54+00:00,"@MoHFW_INDIA Dear sir, we should maintain registery for COVID recovered individuals for use of his convalescent plasma (Blood product) to other severally ill COVID patients. For details- may visit.. Home ",cp4u4ever
2020-04-03 22:56:44+00:00,Mega cash transfer in battle Covid-19 | India News ,Newslin07952424
2020-04-03 22:56:39+00:00,India COVID-19 lockdown means no food or work for rural poor | News https://subhodayamsubbarao.com/india-covid-19-lockdown-means-no-food-or-work-for-rural-poor-news/,rajasekharaa
2020-04-03 22:55:48+00:00,"Lista de medidas para aumentar inmunidad al COVID-19 según el ministerio de AYUSH de la India, un pais de +1.300 millones de personas. ESTO PINTA FEÍSIMO ",joan_cm
2020-04-03 22:55:26+00:00,#WearAMask India VIDEO | See how COVID-19 is getting transmitted through a ‘third route’ A research team conducting an experiment to track particles in the air using laser beams and a high sensitivity camera. EYE OPENER! ,Jayne720
2020-04-03 22:53:20+00:00,#CoronaUpdate India reports 575 new cases of #Covid_19 on 3rd Apr A total of 2653 cases in India Number of samples tested-69245 Samples tested today-10034 Took 4 days to go from 1k to 2k &amp; 1 day to touch 2500 Deaths till date-62,PatcherSunny
2020-04-03 22:52:22+00:00,"Stay Home, Stay Alive Happy Quarantine #HRS #covid #stayhome #stayalive #coronavirus #hometime #qurantine #homequarantine #Saiyed #hamza #indiafightscorona #n95 #mask @India https://www.instagram.com/p/B-W2a3SlD35/?igshid=xy3uroairg38",hamzasaiyed
2020-04-03 22:50:32+00:00,The world is looking for the medicine for the Corona virus and in our India is making plates and fried baskets and now lamps and candles are being made #Covid_19,Ravindar1994
2020-04-03 22:50:07+00:00,"India coronavirus COVID-19 cases register highest 24-hour spike; total 2547, deaths 62 ",harrisk1111
2020-04-03 22:50:04+00:00,Varanasi: Kashi soothsayer lands in jail for Covid-19 cure mantra claim | Varanasi News - Times of India http://dlvr.it/RT7gj0,VaranasiNews
2020-04-03 22:49:58+00:00,Jalandhar residents enjoy beauty of snowy mountains amid coronavirus COVID-19 lockdown | India News http://dinowap.in/jalandhar-residents-enjoy-beauty-of-snowy-mountains-amid-coronavirus-covid-19-lockdown-india-news/,in_dinx
2020-04-03 22:48:54+00:00,"India's tourism sector may lose Rs 5 lakh cr, 4-5 cr jobs could be cut due to COVID-19 https://economictimes.indiatimes.com/news/economy/indicators/indias-tourism-sector-may-lose-rs-5-lakh-cr-4-5-cr-jobs-could-be-cut-due-to-covid-19/articleshow/74968781.cms… Comments: ************ I warn here again that as per India's Numerological chart, April - May 2020 is going to be very challenging &amp; difficult time for the country. ",DateYourFuture
2020-04-03 22:47:56+00:00,Covid-19 Lockdown: People Can Withdraw Cash From All India Post ATMs In Tamil Nadu https://amyrudigital.com/2020/04/03/covid-19-lockdown-people-can-withdraw-cash-from-all-india-post-atms-in-tamil-nadu/,AmyruDigital
2020-04-03 22:47:38+00:00,"30 new Covid-19 cases reported in Rajasthan, tally up to 166 | India News – Times of India https://www.nsservices.in/30-new-covid-19-cases-reported-in-rajasthan-tally-up-to-166-india-news-times-of-india/",services_ns
2020-04-03 22:45:07+00:00,The Government of India has recently launched this amazing application to get one more step closer to fight #COVID-19 The appis available for both Android and IPhone Download links avl in the des. box #AarogyaSetuApp #Corona #CoronavirusPandemic https://youtu.be/oWx7HGC0EMQ,imfransari
